,Treatment_i,Treatment_j,hdi_NewEplsar_2.5%,hdi_NewEplsar_97.5%,isSignificant_NewEplsar,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.002432346136479642,-0.0013170733280549087,True,-0.002483446454112756,-0.0011625762955784584,True,-0.0024252976651950625,-0.0010731744836988248,True
1,Dry lucerne,Dry bamboo,-0.0017436124089838868,-0.00096742613891215,True,-0.0019936284338575964,-0.0009888830281135723,True,-0.0021248579197962456,-0.0011228647511006098,True
2,Dry lucerne,Dry grass,-5.258259792401577e-06,0.0010624365365620562,False,-0.00029839080198087016,0.0009953321280124021,False,-0.0005661493585882783,0.0007515194458899452,False
3,BrushNoDirt,BrushDirt,-9.604397526339833e-05,0.0014240959892445643,False,-0.0007667974033261961,0.0011979459768437569,False,-0.0010807220591256665,0.0007614785492980002,False
4,Control,BrushDirt,0.00035952841498843697,0.0018535552877984758,True,-0.0006809310019166642,0.0011843383891620004,False,-0.0005771420167400248,0.0014132410863942136,False
5,Control,BrushNoDirt,-0.0002615767012067498,0.0012562878112237046,False,-0.0009224388116092965,0.000974763688408293,False,-0.0002357962562405962,0.0015646001546480376,False
6,RubDirt,BrushDirt,-0.0005876836955965914,0.0008824537147300309,False,-0.00048242134256784515,0.001530108330763082,False,-0.0009847012955664712,0.0010076764896011752,False
7,RubDirt,BrushNoDirt,-0.0011864179170214082,0.00024571813043350863,False,-0.0008506201869354176,0.0012923188618455855,False,-0.0007451395071194193,0.0010512752206440815,False
8,RubDirt,Control,-0.001777000828706334,-0.00025072449116190067,True,-0.0006580448636112615,0.0013116139164574352,False,-0.0014433618945252757,0.0005127224142939409,False
9,Clover+dust,Clover,-0.0009994783139080068,0.00020985292030959623,False,-0.0006143440363394456,0.0008710389854060175,False,-0.0005029594657997357,0.0009372200478831146,False
10,Grass,Clover,-0.0007453861210355696,0.0005902956538322308,False,-2.7495037542976642e-05,0.0016132550441355776,False,0.00020597501803848654,0.0020185198188277923,True
11,Grass,Clover+dust,-0.00030372016899951284,0.0009857588372943007,False,-0.00025591097305719974,0.001458716275603615,False,-1.1264759226450888e-05,0.0017495912215473217,False
12,Grass+dust,Clover,-0.0011155466326236473,0.00014909408063570537,False,0.00011138722747249383,0.001722414270687603,True,0.00029883199427677924,0.001861353192056668,True
13,Grass+dust,Clover+dust,-0.0006692419449299301,0.0005210908291989522,False,-7.248677774740295e-06,0.0016964681128266719,False,0.00010463746288410265,0.0017025261261774402,True
14,Grass+dust,Grass,-0.001049364065845515,0.0002371425226204623,False,-0.0007300968088627682,0.001062333196997261,False,-0.000988989319255289,0.0008797303325950094,False
