,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry Grass,Dry Bamboo,0.00474059764171153,0.15426917088779574,True,0.009963904720857397,0.1469797485989613,True
1,Dry Lucerne,Dry Bamboo,-0.03922245943674392,0.07773741819997665,False,-0.0353888778406449,0.07559605279728585,False
2,Dry Lucerne,Dry Grass,-0.13533822826440567,0.023288093773873864,False,-0.12595119840845476,0.018912011207796703,False
3,BrushNoDirt,BrushDirt,-0.1546938834329628,0.17305851957226814,False,-0.05130131854801856,0.21801633726049946,False
4,Control,BrushDirt,-0.09669677151600581,0.1831081181545419,False,-0.014655542934692171,0.23849850511722276,False
5,Control,BrushNoDirt,-0.1297901949674376,0.19454346302944484,False,-0.1152109726210225,0.18986961720421539,False
6,RubDirt,BrushDirt,-0.17391084395682113,0.0898354972864787,False,-0.08817229561823847,0.14485589092505952,False
7,RubDirt,BrushNoDirt,-0.21710489754890833,0.09766006997227053,False,-0.1949926872967781,0.0993104117377091,False
8,RubDirt,Control,-0.22411278144893415,0.03459565473478296,False,-0.2201323176455506,0.051092691975760524,False
9,Clover+Dust,Clover,-0.17475259599857124,0.11486577276715543,False,-0.08237975122154562,0.1518125694199718,False
10,Grass,Clover,-0.2028632024836529,0.09679985227214159,False,-0.12187340018320747,0.11549742220212393,False
11,Grass,Clover+Dust,-0.1384333494146954,0.0912022545769098,False,-0.1482233044778724,0.07891666442481522,False
12,Grass+Dust,Clover,-0.2908364962953106,0.004972359907507884,False,-0.20548306382742543,0.03964634348173276,False
13,Grass+Dust,Clover+Dust,-0.21880480047102507,0.016316535628127994,False,-0.22982213475427038,0.00014250536671292502,False
14,Grass+Dust,Grass,-0.21196605717116712,0.043802268778040325,False,-0.2117916756947872,0.033222116210250285,False
