,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.0002852409196795547,0.00017522492950418985,False,-0.0002566555916763283,0.00018781751981370711,False
1,Dry lucerne,Dry bamboo,-0.00011590275083738855,0.000247848410235891,False,-0.0003260987048907373,0.00012137602448051253,False
2,Dry lucerne,Dry grass,-0.00011475537788204534,0.00032966392069642275,False,-0.0003486519281070159,0.00017885171033697527,False
3,BrushNoDirt,BrushDirt,-0.002096355511369091,-0.0006722726464091699,True,-0.0004196963814137207,0.0006346008934822577,False
4,Control,BrushDirt,-0.001248716799125896,4.050765957592855e-05,False,-0.00041619608097504457,0.0004080740098988361,False
5,Control,BrushNoDirt,-7.955091337579065e-05,0.0016557609200806515,False,-0.0008012139448340394,0.00038676615695457323,False
6,RubDirt,BrushDirt,-0.0011537798258221344,0.0007991295688344544,False,-0.00018519475022687462,0.0006347411837103996,False
7,RubDirt,BrushNoDirt,0.00018106975178729145,0.002385872637530214,True,-0.0005555751946090676,0.0006187847384138624,False
8,RubDirt,Control,-0.0006801090105675342,0.0014886781317734457,False,-0.00025214806780886735,0.0007219445498379174,False
9,Clover+dust,Clover,-0.0010050714923273913,-0.0002897418200333789,True,-0.0001376400200729811,0.0004007513587390467,False
10,Grass,Clover,-0.0012500374978084098,-0.00010169477905116932,True,-0.000719094767049666,-4.5307412178043505e-05,True
11,Grass,Clover+dust,-0.0006393361088344223,0.0005800983219628598,False,-0.0007920357588745599,-0.000199466372291033,True
12,Grass+dust,Clover,-0.0019699755249938935,8.439136260226555e-05,False,-0.0004346627259798684,0.000139945335683931,False
13,Grass+dust,Clover+dust,-0.0013140610400694365,0.0008237162777905002,False,-0.0005149538831419592,-4.4685610187716364e-05,True
14,Grass+dust,Grass,-0.0015363386963736883,0.0008737314908174544,False,-9.149131613936726e-05,0.000540486141591951,False
