,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry Grass,Dry Bamboo,-0.004066813199418465,-0.0027436089185195536,True,-0.003975561546779923,-0.002646555075704717,True
1,Dry Lucerne,Dry Bamboo,-0.0032905669942517846,-0.001971229754891104,True,-0.0034654508484844504,-0.002209667105053691,True
2,Dry Lucerne,Dry Grass,0.0002147366542726765,0.001527663293352629,True,-0.00016589674251123133,0.0011271982696215435,False
3,BrushNoDirt,BrushDirt,-0.001322042722226913,0.0010070905583652499,False,-0.0015126882843392484,0.0005648194674017617,False
4,Control,BrushDirt,-0.0021291117548817417,0.00023529372444376813,False,-0.001953935440356676,0.00021252296487074855,False
5,Control,BrushNoDirt,-0.0017256045340667268,0.0003811620208435386,False,-0.001382444900712522,0.000666028568651949,False
6,RubDirt,BrushDirt,-0.0017125869680603579,0.0005368146034000716,False,-0.0013725780002227495,0.0007299474140735715,False
7,RubDirt,BrushNoDirt,-0.001426281198369065,0.0006155035727271774,False,-0.0009063707209095501,0.0010686360601808746,False
8,RubDirt,Control,-0.0007054445305011761,0.0013799194219502417,False,-0.0005605670523961728,0.0014897522505890257,False
9,Clover+Dust,Clover,-0.001075363079007094,0.0011400696287497474,False,-0.0007648331376403064,0.00162914217397244,False
10,Grass,Clover,-0.00019353493031167316,0.0029297168454700522,False,0.00027685388034143704,0.0037611863414955564,True
11,Grass,Clover+Dust,-0.00013205124271721818,0.0030350530248491577,False,-9.26486733134912e-05,0.00343750310955453,False
12,Grass+Dust,Clover,0.0005262312466245971,0.003260428188999617,True,0.0008544303708094912,0.00349391040781592,True
13,Grass+Dust,Clover+Dust,0.0005219025214637817,0.003388906228927468,True,0.00046965889756180057,0.003078236226217325,True
14,Grass+Dust,Grass,-0.001253989437682939,0.00233131239875955,False,-0.0018097470375986495,0.0018764551743953612,False
