,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,0.03351058202079815,0.3966765248957478,True,0.02780418637729043,0.32113468571086057,True
1,Dry lucerne,Dry bamboo,-0.057178046377419633,0.06787638032932844,False,-0.059018614476106235,0.06123852330889995,False
2,Dry lucerne,Dry grass,-0.38000369793401245,-0.016989827400751223,True,-0.31774358597548535,-0.026116945544047143,True
3,BrushNoDirt,BrushDirt,-0.09134713674821215,0.22372097910919478,False,-0.11591573584320158,0.2801877059205627,False
4,Control,BrushDirt,-0.010467743163721233,0.4107458877386851,False,-0.03888400346844928,0.4718824642053446,False
5,Control,BrushNoDirt,-0.10579388987942084,0.3769934556130501,False,-0.1354693554914096,0.4725780771467125,False
6,RubDirt,BrushDirt,-0.09468592049092062,0.18271972418739835,False,-0.1254512567599343,0.16793272300686318,False
7,RubDirt,BrushNoDirt,-0.19073191141590357,0.15896215864698326,False,-0.27196149077295173,0.17008083400759189,False
8,RubDirt,Control,-0.3717129706179637,0.07272412918868698,False,-0.480865992369436,0.06893341132307601,False
9,Clover+dust,Clover,-0.12847682656777498,0.16513310918741742,False,-0.08593724734985475,0.1807082431054865,False
10,Grass,Clover,-0.3043129870108397,0.06499768198791289,False,-0.13916102165222743,0.11907909089913932,False
11,Grass,Clover+dust,-0.276305574133445,0.0452591799111407,False,-0.1728728407252077,0.07640713233682228,False
12,Grass+dust,Clover,-0.3295675275060131,0.00942223301968148,False,-0.22524871205230435,0.033804587488301285,False
13,Grass+dust,Clover+dust,-0.31112890497622314,-0.03224012611524074,True,-0.2534051837367989,0.00010232494983808404,False
14,Grass+dust,Grass,-0.23486460164414535,0.13171420264877193,False,-0.21055944318851144,0.03607814455887698,False
