,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.00467078685459987,-0.0021828842709241,True,-0.004477830149736281,-0.0020049275659124195,True
1,Dry lucerne,Dry bamboo,-0.0037336496886731245,-0.0018742467588801763,True,-0.003890025043989583,-0.00206187086371169,True
2,Dry lucerne,Dry grass,-0.0005570061759654338,0.0018593971749442106,False,-0.0010816445044019125,0.0013360043286361608,False
3,BrushNoDirt,BrushDirt,-0.0013406136708453778,0.00236036158190246,False,-0.00215775580468039,0.0012580710906157913,False
4,Control,BrushDirt,-0.0010542694014547887,0.0024262899800231723,False,-0.0010957599161547154,0.00259883678078151,False
5,Control,BrushNoDirt,-0.001752834174209538,0.0018502904754827405,False,-0.0004741047746614845,0.002917273190847925,False
6,RubDirt,BrushDirt,-0.0008766160929608773,0.003022280842054439,False,-0.001945670365712495,0.0017891275955170833,False
7,RubDirt,BrushNoDirt,-0.0015173284665434541,0.0024911238777464992,False,-0.0013505084636346787,0.0020151267233894737,False
8,RubDirt,Control,-0.0013168941845654015,0.0024917645572822213,False,-0.002699144430785316,0.0008723947996595346,False
9,Clover+dust,Clover,-0.0012311274500849201,0.0016182738525946775,False,-0.0010011001057012251,0.0018126385618633938,False
10,Grass,Clover,-0.00020390816086288414,0.002888343911411283,False,0.00043448199874776463,0.003762417866381116,True
11,Grass,Clover+dust,-0.0003385265874352179,0.0028813407689992983,False,6.0484896216370185e-05,0.0033898249602254075,True
12,Grass+dust,Clover,0.0002376468925531295,0.003277506168894389,True,0.0005889697240411009,0.003628672972387302,True
13,Grass+dust,Clover+dust,2.6041068550479397e-05,0.0031302320179991913,True,0.00022755427463282737,0.003222889846586031,True
14,Grass+dust,Grass,-0.001439979758321911,0.0019137323915157489,False,-0.0016778532401556284,0.0017538691255948988,False
