,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,0.05698045469656421,0.3044265051146855,True,-0.004681364222190787,0.24199858207814517,False
1,Dry lucerne,Dry bamboo,-0.002441238642606952,0.10308438130235231,False,-0.0214891850139578,0.07684690189984311,False
2,Dry lucerne,Dry grass,-0.25129497301864134,0.005655445665784242,False,-0.21040446406934787,0.035348503230025585,False
3,BrushNoDirt,BrushDirt,-0.05128853239297482,0.17109836605486906,False,-0.06505029415524288,0.16456256134155356,False
4,Control,BrushDirt,-0.035732407370266284,0.4789375587416538,False,-0.10201768315652937,0.657443775268955,False
5,Control,BrushNoDirt,-0.11058112170745721,0.41632350767726356,False,-0.16035493097007558,0.650566127744905,False
6,RubDirt,BrushDirt,-0.12314752390530304,0.12207758474764563,False,-0.12508015437774866,0.1103809114037787,False
7,RubDirt,BrushNoDirt,-0.1931149212967691,0.06967411414441549,False,-0.19324151300181525,0.06538924234798316,False
8,RubDirt,Control,-0.5338523404189983,0.04183145432673174,False,-0.7149275273757917,0.2015137653913721,False
9,Clover+dust,Clover,-0.4244337778355458,0.34061815093583303,False,-0.577328473601925,0.1834286665728655,False
10,Grass,Clover,-0.556400524997821,0.2990912233745252,False,-0.7522316510830436,0.09521675175573469,False
11,Grass,Clover+dust,-0.45443790694622826,0.08071690631709832,False,-0.3352081191442646,0.143805010235302,False
12,Grass+dust,Clover,-0.9311090993039937,-0.01647484498080165,True,-1.0151670890548532,-0.23078994324841196,True
13,Grass+dust,Clover+dust,-0.6855599338081604,-0.26443431478990354,True,-0.590469816098171,-0.24915829272192624,True
14,Grass+dust,Grass,-0.6337725319424239,0.04578033874714915,False,-0.5874626771400493,-0.053738378942489506,True
