,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,0.0015408222954508477,0.0028303533364951224,True,-0.0003386831922208445,0.00045480060390356083,False
1,Dry lucerne,Dry bamboo,0.0005507287774115729,0.0018553193757026671,True,-0.00037273118165726937,0.0001782270241467126,False
2,Dry lucerne,Dry grass,-0.0015376492195158468,-0.00043867133778927687,True,-0.000609185563482606,0.00020196460313806446,False
3,BrushNoDirt,BrushDirt,-0.0011405367110260563,0.0001049605102645644,False,-0.0009361374765757343,8.813971102101473e-05,False
4,Control,BrushDirt,-0.0012869028188345621,0.0006613410283144187,False,-0.0006641654738650739,0.0001638520079826353,False
5,Control,BrushNoDirt,-0.0007385423369495258,0.0011885188357958999,False,-0.0002619885340461839,0.0007158219552296542,False
6,RubDirt,BrushDirt,-0.0015553212180389997,-7.138459151821448e-05,True,-0.001122997372284381,2.6598780675647464e-05,False
7,RubDirt,BrushNoDirt,-0.001065879892426283,0.00043503411604533474,False,-0.0007549003957186828,0.0005241013468882559,False
8,RubDirt,Control,-0.0016888007839123002,0.0005011935669354565,False,-0.000874083245886175,0.00022931295228021016,False
9,Clover+dust,Clover,-0.00043992687104672107,0.00046049099589933005,False,-0.0002159271742182495,0.00046100146629986585,False
10,Grass,Clover,-0.0006851169364901176,0.0005451625690056526,False,-0.0007058966672475334,4.518760215380113e-05,False
11,Grass,Clover+dust,-0.0007048420497395656,0.0005347257794893548,False,-0.0008311660497753322,-0.0001358473379483083,True
12,Grass+dust,Clover,-0.00043014976129482807,0.0005257447970713511,False,-0.00045147075445918505,0.00021826668566346692,False
13,Grass+dust,Clover+dust,-0.0005162178102732783,0.0004950686322855455,False,-0.0005675442757911266,4.459566171305211e-05,False
14,Grass+dust,Grass,-0.0005024403112026078,0.0007850183462588885,False,-0.00014073128299279918,0.0005776408227770855,False
