,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.01026751776432977,0.14301059004371552,False,-0.01062477908126147,0.12666285119883303,False
1,Dry lucerne,Dry bamboo,-0.049641988035372064,0.07342415686357037,False,-0.04377623268270736,0.06492374058810585,False
2,Dry lucerne,Dry grass,-0.133646146166735,0.03109591507252832,False,-0.12221067430691979,0.028118176342508183,False
3,BrushNoDirt,BrushDirt,-0.1251281358209937,0.2385686024465358,False,-0.14086026657618925,0.22998732237620412,False
4,Control,BrushDirt,-0.02056695961013355,0.4153322085454898,False,-0.06601306558493446,0.44861200899549314,False
5,Control,BrushNoDirt,-0.1206273118814575,0.3686580019702728,False,-0.13966449104274548,0.44901775967578317,False
6,RubDirt,BrushDirt,-0.10645338420440509,0.17876163241498888,False,-0.14274260999055421,0.1491816240496428,False
7,RubDirt,BrushNoDirt,-0.2097898567917149,0.14211463541019415,False,-0.24201725315968103,0.17443606518809782,False
8,RubDirt,Control,-0.3685037210885417,0.06358382396666062,False,-0.4823663471374303,0.06670399408991956,False
9,Clover+dust,Clover,-0.13234074811430863,0.158944673363711,False,-0.08621665462768158,0.17311096009730348,False
10,Grass,Clover,-0.2869524061050239,0.06527179302875141,False,-0.1286951335262772,0.12543269556458275,False
11,Grass,Clover+dust,-0.281473048409819,0.032155356857354045,False,-0.16873425334960201,0.08642721499283879,False
12,Grass+dust,Clover,-0.3198437084093061,0.007649414077555816,False,-0.21629520094455862,0.04341566767723304,False
13,Grass+dust,Clover+dust,-0.3007524334556115,-0.02102248441354415,True,-0.24588768464380667,-0.0016850132512354898,True
14,Grass+dust,Grass,-0.22349024069531298,0.13123707223565662,False,-0.20677708514734527,0.03929372551950272,False
