,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,0.0006589618350520795,0.0019696320391219165,True,-0.00035076238880280605,0.0002527625858472103,False
1,Dry lucerne,Dry bamboo,6.667617459056021e-05,0.0014471821658784269,True,-0.00040693990019541153,0.00014387283360379945,False
2,Dry lucerne,Dry grass,-0.0010821590141651656,4.860469623937935e-05,False,-0.0003835035945953212,0.0002760213265568822,False
3,BrushNoDirt,BrushDirt,-0.0012436398938272556,0.00021534786397414067,False,-0.0009645834714431386,0.00014712826027375465,False
4,Control,BrushDirt,-0.001289811632844313,0.000752533907044936,False,-0.0006343425540307236,0.0003520633694166142,False
5,Control,BrushNoDirt,-0.0007124716872336807,0.0013488086319136646,False,-0.0002877311352364551,0.0007813981176504154,False
6,RubDirt,BrushDirt,-0.0016289847060084297,5.134811082546306e-05,False,-0.0011525714590650098,0.00011789427508938476,False
7,RubDirt,BrushNoDirt,-0.0011061906333467175,0.0005740617635860198,False,-0.0007552193819594039,0.0005413649169756264,False
8,RubDirt,Control,-0.001618929619127146,0.0005710054229999158,False,-0.0009551986109436654,0.00024126686596865655,False
9,Clover+dust,Clover,-0.00047231575883395363,0.00047963136559948374,False,-0.000233797296861964,0.0005036706431097199,False
10,Grass,Clover,-0.0007239344893375712,0.0005006037260569573,False,-0.0007709981258308628,9.499247647508802e-05,False
11,Grass,Clover+dust,-0.0007098173881618782,0.0005601597225339313,False,-0.0008891887895669036,-0.00010323943254847683,True
12,Grass+dust,Clover,-0.0004849852401557222,0.0005524367184358177,False,-0.00047473543077273216,0.00030429135477161046,False
13,Grass+dust,Clover+dust,-0.0005075419564455133,0.0005406239905933687,False,-0.0005661856676970976,0.00013517055745278228,False
14,Grass+dust,Grass,-0.0005347942153559613,0.0007973673275753455,False,-0.00019251248470279802,0.0006373608046598344,False
