,Treatment_i,Treatment_j,hdi_ConfoMap_2.5%,hdi_ConfoMap_97.5%,isSignificant_on_ConfoMap,hdi_Toothfrax_2.5%,hdi_Toothfrax_97.5%,isSignificant_on_Toothfrax
0,Dry grass,Dry bamboo,-0.004151713414236591,-0.002593792687210176,True,-0.003996496320321924,-0.0023973965023009088,True
1,Dry lucerne,Dry bamboo,-0.003325699756465528,-0.0017878838722480302,True,-0.003508979706777786,-0.002021529984596449,True
2,Dry lucerne,Dry grass,5.6753604224379396e-05,0.001571242383171469,True,-0.000322967814931682,0.0012352092584702855,False
3,BrushNoDirt,BrushDirt,-0.0013765737565981063,0.002078031877256011,False,-0.0017969157544152124,0.001283430220718783,False
4,Control,BrushDirt,-0.001050849629994495,0.002062247886057777,False,-0.0006485091039124236,0.002676722902207244,False
5,Control,BrushNoDirt,-0.0017030996914321097,0.0018980175621895472,False,-0.000598780599066882,0.002794839930683617,False
6,RubDirt,BrushDirt,-0.0007156023269114679,0.0029555752683583284,False,-0.0016820211674650099,0.0014129317438068625,False
7,RubDirt,BrushNoDirt,-0.0013933064117662756,0.002725576452445115,False,-0.0013265079418985225,0.0016861273037889275,False
8,RubDirt,Control,-0.0013387712895249408,0.00250910439414867,False,-0.0026463602182171635,0.0006602301271925395,False
9,Clover+dust,Clover,-0.0011231690275640494,0.0013935179123474514,False,-0.0009201230570799103,0.0016980821952742758,False
10,Grass,Clover,5.193119444466248e-05,0.0030359963621011143,True,0.0003857415244668118,0.0037131308036251177,True
11,Grass,Clover+dust,-0.00022944562964366836,0.002854917409600322,False,4.862555291543447e-05,0.0033237145190753827,True
12,Grass+dust,Clover,0.0003322728736799537,0.0032971053403706976,True,0.0006199821088097195,0.003433524785000851,True
13,Grass+dust,Clover+dust,0.0001670956625734396,0.0032413553748455674,True,0.00028502865743782293,0.0031398459140097998,True
14,Grass+dust,Grass,-0.001428124458016932,0.0020009054394212024,False,-0.0016969462104375502,0.0016663521332319913,False
