#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11
#,#,#,a0,ax,ax2,ay,axy,ay2,X-axis rotation angle,Y-axis rotation angle,Name,File path,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Created on,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Reg. coefficient R²,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81)
#,#,#,nm,nm,nm,nm,nm,nm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm²,<no unit>,<no unit>
09/03/2020,16:37:09,D:\Data\Ivan\SSFA\Daniela Winkler\ConfoMap results\NMPfilled\SSFA-GuineaPigs_NMPfilled --- capor_2CC4B1_txP4_#1_1_100xL_1.mnt,-5153.895575,17.7042159,-0.007704731,10.69042997,0.009854857,-0.001545326,-1.22E-06,-1.75E-06,capor_2CC4B1_txP4_#1_1_100xL_1,D:\Data\Ivan\SSFA\Daniela Winkler\Original surfaces\capor_2CC4B1_txP4_#1_1_100xL_1.nms,Surface,X,60.06103594,370,0.162767035,Y,60.06103594,370,0.162767035,Z,Topography,27761.59615,63385,0.437983689,0.00073046,capor_2CC4B1_txP4_#1_1_100xL_1 > Form removed (LS-poly 2) > Leveled (LS-plane) > Outliers removed > Thresholded (0.100 % ; 99.9 %) > Filled-in non-measured points,02/02/2008 0:00,Surface,X,60.06103594,370,0.162767035,Y,60.06103594,370,0.162767035,Z,Topography,1341.982024,3064,0.437983689,0,0.001960011,0.01842431,0.998370268,14.29322597,0.415393778,0.164461792,0.368123892
#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11
#,#,#,a0,ax,ax2,ay,axy,ay2,X-axis rotation angle,Y-axis rotation angle,Name,File path,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Created on,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Reg. coefficient R²,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81)
#,#,#,nm,nm,nm,nm,nm,nm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm²,<no unit>,<no unit>
09/03/2020,16:37:13,D:\Data\Ivan\SSFA\Daniela Winkler\ConfoMap results\NMPfilled\SSFA-GuineaPigs_NMPfilled --- capor_2CC4B1_txP4_#1_1_100xL_2.mnt,-5464.731008,17.4767691,-0.000549334,12.44597331,-0.002872856,0.001467758,-7.94E-07,-7.20E-08,capor_2CC4B1_txP4_#1_1_100xL_2,D:\Data\Ivan\SSFA\Daniela Winkler\Original surfaces\capor_2CC4B1_txP4_#1_1_100xL_2.nms,Surface,X,60.06103594,370,0.162767035,Y,60.06103594,370,0.162767035,Z,Topography,33300.90071,63275,0.526288435,0.00146092,capor_2CC4B1_txP4_#1_1_100xL_2 > Form removed (LS-poly 2) > Leveled (LS-plane) > Outliers removed > Thresholded (0.100 % ; 99.9 %) > Filled-in non-measured points,02/02/2008 0:00,Surface,X,60.06103594,370,0.162767035,Y,60.06103594,370,0.162767035,Z,Topography,1437.293716,2731,0.526288435,0,0.003662312,0.018888664,0.999112342,12.90554867,0.440817926,0.171361361,0.417234053
#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11
#,#,#,a0,ax,ax2,ay,axy,ay2,X-axis rotation angle,Y-axis rotation angle,Name,File path,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Created on,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Layer type - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Reg. coefficient R²,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81)
#,#,#,nm,nm,nm,nm,nm,nm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm,points,µm,<no unit>,µm,points,µm,<no unit>,<no unit>,nm,digits,nm,%,<no unit>,<no unit>,<no unit>,<no unit>,µm²,<no unit>,<no unit>
09/03/2020,16:37:16,D:\Data\Ivan\SSFA\Daniela Winkler\ConfoMap results\NMPfilled\SSFA-GuineaPigs_NMPfilled --- capor_2CC4B1_txP4_#1_1_100xL_3.mnt,-5384.991245,18.01269432,-0.00277592,11.60790261,-0.001447956,0.002095202,1.58E-07,-2.33E-07,capor_2CC4B1_txP4_#1_1_100xL_3,D:\Data\Ivan\SSFA\Daniela Winkler\Original surfaces\capor_2CC4B1_txP4_#1_1_100xL_3.nms,Surface,X,60.06103594,370,0.162767035,Y,60.06103594,370,0.162767035,Z,Topography,27709.55678,63251,0.438088833,0.002921841,capor_2CC4B1_txP4_#1_1_100xL_3 > Form removed (LS-poly 2) > Leveled (LS-plane) > Outliers removed > Thresholded (0.100 % ; 99.9 %) > Filled-in non-measured points,02/02/2008 0:00,Surface,X,60.06103594,370,0.162767035,Y,60.06103594,370,0.162767035,Z,Topography,1352.818316,3088,0.438088833,0,0.003140386,0.018703144,0.998934822,13.66607046,0.440817926,0.130528691,0.352168709
#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11
