#,#,#,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:1,OPERATOR:2,OPERATOR:2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,
#,#,#,a0,ax,ax2,ay,axy,ay2,X-axis rotation angle,Y-axis rotation angle,Name,File path,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Name,Studiable type,Axis name - X,Axis length - X,Axis size - X,Axis spacing - X,Axis name - Y,Axis length - Y,Axis size - Y,Axis spacing - Y,Axis name - Z,Axis length - Z,Axis size - Z,Axis spacing - Z,NM-points ratio - Z,Length-scale anisotropy (Sfrax) (epLsar),Length-scale anisotropy (NewEplsar),Reg. coefficient R²,Fractal complexity (Asfc),Scale of max complexity (Smfc),HAsfc9 (HAsfc9),HAsfc81 (HAsfc81),
#,#,#,Âµm,Âµm,Âµm,Âµm,Âµm,Âµm,°,°,<no unit>,<no unit>,<no unit>,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,digits,Âµm,%,<no unit>,<no unit>,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,points,Âµm,<no unit>,Âµm,digits,Âµm,%,<no unit>,<no unit>,<no unit>,<no unit>,Âµm²,<no unit>,<no unit>,
2021/01/25,14:57:29,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin.mnt,9.079453812e-11,-2.058024794e-14,-6.668020636e-17,-1.47335693e-13,1.077882074e-16,3.637772748e-17,-1.79432212e-11,-3.293110507e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,20.32743153,315492771,6.44307363e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_10098_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,20.32743153,315492771,6.44307363e-08,0,0.002497368973,0.01865612926,0.9987851302,10.57108363,13.18123281,1.392910612,2.246877662,
2021/01/25,14:58:03,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin.mnt,-9.497952035e-12,2.16180119e-14,-6.939258043e-18,7.813707402e-15,-1.582427504e-17,4.318016873e-18,-6.225480902e-13,9.961562016e-13,SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,5.302136664,271101233,1.955777407e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_11723_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,5.302136664,271101233,1.955777407e-08,0,0.001207926056,0.01715131292,0.9989063352,2.236939772,2.471172489,0.2792239687,0.7705203453,
2021/01/25,14:58:40,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin.mnt,1.100812325e-11,-6.370740859e-14,4.690335556e-17,3.585850746e-14,-2.758419389e-18,-2.409612039e-17,3.044679007e-12,-1.611501257e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,11.73425998,268968603,4.362687633e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_20939_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,11.73425998,268968603,4.362687633e-08,0,0.002741180913,0.01843510845,0.9982507803,6.517426079,2.304672325,0.5974030287,2.243069181,
2021/01/25,14:59:16,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin.mnt,-3.171475479e-10,1.939429333e-12,-9.362845846e-16,-8.212190026e-12,1.221151171e-16,5.074835957e-15,2.588647626e-10,-1.117290309e-10,SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.370311577,193413144,3.810657034e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_31042_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.370311577,193413144,3.810657034e-08,0,0.001527963591,0.01774636867,0.9992552423,2.863681175,4.96411459,0.2960700939,0.8130058735,
2021/01/25,14:59:51,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin.mnt,2.328762009e-12,-3.845721345e-14,1.451833842e-17,2.394779581e-14,4.649368486e-17,-4.968809384e-17,8.918073835e-12,-7.566660425e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.32840418,297432788,4.481148252e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_70519_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.32840418,297432788,4.481148252e-08,0,0.00161183366,0.01801825487,0.9990380229,12.03945469,0.8679504928,0.5622825894,1.548061886,
2021/01/25,15:00:25,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin.mnt,-2.404378872e-11,4.761201124e-14,-2.394698439e-17,5.536562199e-14,-5.256969987e-18,-3.294410766e-17,2.851479492e-12,1.013128767e-13,SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,4.23678682,154294374,2.745911409e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_80140_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,4.23678682,154294374,2.745911409e-08,0,0.00255723947,0.01744671518,0.9990944353,2.776346432,0.7040659359,0.2441171874,0.8005582883,
2021/01/25,15:00:58,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin.mnt,2.224445758e-11,-8.623933467e-16,5.287036475e-18,-4.679946469e-14,3.219924173e-18,1.478771017e-17,4.36511891e-12,-9.497363431e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.563992221,219578648,3.444775842e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_80307_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,7.563992221,219578648,3.444775842e-08,0,0.006248850204,0.020194359,0.9981115521,1.769674314,0.4029603757,0.4946464452,1.344782923,
2021/01/25,15:01:34,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin.mnt,-2.725725044e-11,6.36289554e-14,7.861430286e-19,3.655793339e-14,-5.133095512e-17,-1.708598863e-17,1.113314212e-11,-1.319439224e-11,SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.13439563,237743594,5.524605484e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_8045_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.13439563,237743594,5.524605484e-08,0,0.003363863486,0.0186411527,0.9990944618,7.391159844,8.089075974,1.594739528,2.713974409,
2021/01/25,15:02:10,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin.mnt,-4.777786855e-11,8.09029137e-14,-4.489096136e-17,9.713343094e-14,-5.920616018e-18,-6.514108001e-17,2.990682697e-12,-3.741423703e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,9.184698635,305134008,3.010054073e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_80729_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,9.184698635,305134008,3.010054073e-08,0,0.002936613867,0.01879094063,0.9971469768,2.979608517,0.2005966173,0.4764487463,0.9200220785,
2021/01/25,15:02:47,D:\Data\3D data\SSFA\Sheeps\ConfoMap results\v8.2.9468\SSFA-Sheeps_NMPfilled --- SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin.mnt,-7.955004908e-11,1.807506221e-13,-1.067186522e-16,3.700577584e-14,3.138416853e-17,-3.218949095e-17,1.761487405e-11,5.078802754e-12,SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin,D:\Data\3D data\SSFA\Sheeps\Processed surfaces\NMPfilled\SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin.sur,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.0606878,263288652,4.960596556e-08,0,SSFA-Sheeps_NMPfilled --- L5_Ovis_90287_lm2_sin > Form removed (LS-poly 2) > Leveled (LS-plane) > Filled-in non-measured points,Surface,X,199.9499895,1551,0.1289999932,Y,199.9499895,1551,0.1289999932,Z,13.0606878,263288652,4.960596556e-08,0,0.0003988616117,0.01764819729,0.9992354141,11.4752327,1.869509022,0.7906935246,1.465227048,
